weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
1.022832255725234792e-04 -2.156472727238848165e+03 7.591238701543159828e-02 5.619571865534078725e-02 -2.495246135976829649e-01 1.094953464932641367e+02 7.551902338820997151e-01 3.017274983296519553e-01 4.587637058038423810e+00 -6.527166183181627446e-01 -2.239486860217010378e-01 2.631106678621464301e-01 1.934312672357157226e+01 8.365208377518417393e+00 1.581836020166508376e+02 8.820852425025682919e+01
1.003600789818155214e-04 -2.156491708416979691e+03 1.494385534553370476e-01 3.462288394811083303e-02 -3.066293981138477065e-01 9.670084538964083265e+01 9.273147262702301497e-01 2.685755260678056033e-01 4.586396072529327128e+00 -6.835459406937856031e-01 -2.252952461245274485e-01 2.106753270106690931e-02 1.769590640127179881e+01 8.693855066284061905e+00 1.445720893926805104e+02 1.179210492953944822e+02
1.248346957434319873e-04 -2.156273482497400437e+03 4.297231066255280396e-02 6.934423451800542093e-02 -2.815828075742325964e-01 8.478549682820438704e+01 7.098734118517272540e-01 3.243764065577208755e-01 4.594339991576193327e+00 -6.366321436179345206e-01 -1.701155694751714798e-01 1.730147930297062930e-01 2.074356058865342334e+01 8.337303566202214355e+00 1.536847852158327328e+02 9.339919947445018522e+01
8.893032707178274749e-05 -2.156612619704201279e+03 1.367308155882272225e-01 5.198024547182295008e-02 -2.779956589558669755e-01 1.170809194891616301e+02 8.693159942802819451e-01 2.845225683391333638e-01 4.592899328125180425e+00 -6.561557181221102653e-01 -2.512285543705137236e-01 1.619618066600116146e-01 1.873925616162844676e+01 9.146981576216628440e+00 1.548014738828696863e+02 9.313393161252525942e+01
1.211972989203512387e-04 -2.156303053138211453e+03 1.347903598170447081e-01 3.791631822542304575e-02 -3.788628341753916828e-01 9.554282825379677035e+01 8.806904054857624953e-01 2.799172230409263107e-01 4.593528604777644020e+00 -6.712012158321281063e-01 -1.408191374327834033e-01 8.259267491433104624e-02 2.021522266425949965e+01 9.359702689119897556e+00 1.518664417236781219e+02 1.048027335368829682e+02
2.609125009364114092e-04 -2.155536287819801601e+03 1.303229753395569734e-01 4.385695073615103468e-02 -3.026232048097039495e-01 9.537064044564948517e+01 8.993646401246861988e-01 2.793659051404525639e-01 4.587871154137571850e+00 -6.563579093401084030e-01 -1.990722585919182386e-01 5.404091801742252205e-02 1.896880989428123598e+01 1.023198587072926458e+01 1.421506037513378260e+02 1.086716521526811476e+02
2.095785706204560291e-04 -2.155755374217648750e+03 1.158459021072453521e-01 1.448817521683745668e-02 -3.270647693429498126e-01 9.410324872202183144e+01 8.996462767088779788e-01 2.879574946549269265e-01 4.586516685364891543e+00 -6.560766843722531938e-01 -1.608571146150390430e-01 3.538492659333636325e-02 1.934929848603394476e+01 9.583919394731022834e+00 1.507296252171930178e+02 1.115224512329653379e+02
1.355027317479211724e-04 -2.156191481124844813e+03 1.406001174311783120e-01 3.519075136003968485e-04 -3.829084448221116155e-01 8.448081172748145207e+01 9.196107291896531422e-01 2.752759580490399816e-01 4.586671553314978667e+00 -6.716792313282207161e-01 -1.224132627845693211e-01 1.148912172231988937e-02 1.921182397288410471e+01 1.145503769665512372e+01 1.353066996428181596e+02 1.183026668243157786e+02
8.839536444211640125e-05 -2.156618653395631554e+03 1.257980989511897352e-01 1.648306783994013536e-02 -3.494098002204943931e-01 9.346805071079593574e+01 8.929400826533668845e-01 2.812546094090949689e-01 4.587795312569508788e+00 -6.566817388382353293e-01 -1.713594982418522594e-01 9.101595550022795189e-02 1.998542001020865655e+01 1.209428430853665049e+01 1.377480208481927093e+02 1.048382163696074372e+02
1.344562262727611902e-04 -2.156199234234613868e+03 1.498538311476062812e-01 3.140403106170011616e-02 -2.670808373067585784e-01 1.008904140163270995e+02 9.093631769536142384e-01 2.776769298463608315e-01 4.587563422148019932e+00 -6.702453979491131975e-01 -2.259122543440312825e-01 2.466735250836438187e-02 1.915125028039099675e+01 1.116335474873075739e+01 1.462396172326707529e+02 1.063273702315830036e+02
1.027808074429776072e-04 -2.156467874287897303e+03 1.167143596244371306e-01 4.116036980013171309e-02 -2.621129929221246435e-01 8.813530311878832890e+01 8.544002074363984400e-01 2.957894177913188427e-01 4.592627045423101961e+00 -6.436630121352646672e-01 -2.184524248579280403e-01 1.007444204455176795e-01 1.825313937672351017e+01 7.590090099564683612e+00 1.473989945277784841e+02 1.020834614160381904e+02
1.146880941616174922e-04 -2.156358256706526390e+03 1.439379341799183754e-01 2.204130861972164457e-02 -3.569108104476521603e-01 9.746491134125666633e+01 9.193172038402644963e-01 2.862790799568511457e-01 4.595424987487692015e+00 -6.393794606580884832e-01 -1.655257342651026420e-01 3.538519314197145771e-02 2.042969949121220452e+01 1.427267272381160801e+01 1.488118741256920714e+02 9.634175969756064717e+01
1.748233346233368009e-04 -2.155936696977882093e+03 7.688088196549100473e-02 6.571081638848202955e-02 -3.140607941391091451e-01 9.373051907056030529e+01 7.712340286275067847e-01 3.015361388427596490e-01 4.582515893816624164e+00 -6.603817746706179825e-01 -1.607321192244117736e-01 1.703542329629618157e-01 2.015266483588152369e+01 1.025444928406415990e+01 1.597487189382227371e+02 9.885690114419610097e+01
9.756106281985104278e-05 -2.156519994458161818e+03 7.885492516306510935e-02 5.980730683853011098e-02 -2.738457331836641195e-01 8.335585830561684872e+01 7.362771323609513807e-01 3.076584325578869406e-01 4.591764530017808710e+00 -6.431273429555630639e-01 -2.019893943619299748e-01 1.747833437703547321e-01 1.883347851467888745e+01 1.160463141098977502e+01 1.507566562149377205e+02 1.154215422474806871e+02
1.444036823473569819e-04 -2.156127860198308554e+03 9.225814568514936753e-02 4.505330480465166709e-02 -2.862881369179350877e-01 9.904455466464344227e+01 7.781473925176886075e-01 3.027126216863841313e-01 4.589319257228644311e+00 -6.384522036612394480e-01 -1.775460218964886039e-01 1.815741255136468224e-01 1.738288311856175028e+01 7.293145166257564149e+00 1.505884851791223866e+02 1.031486552359591684e+02
9.862709933751391198e-05 -2.156509126860464676e+03 1.253469270758687804e-01 2.590866096988841960e-02 -3.424489247793700564e-01 1.100397941336287886e+02 8.374222825925583535e-01 2.820583834008992818e-01 4.588405424391886811e+00 -6.644699771047721804e-01 -1.821359422560631103e-01 1.656019439918761660e-01 1.934575305052504746e+01 9.881497499178436783e+00 1.561949070771680965e+02 9.977137573335159004e+01
1.317473683756135799e-04 -2.156219586712619275e+03 9.691079617604247964e-02 6.319031878059810925e-02 -3.144136621535009724e-01 6.748826929120838258e+01 7.834949072833637951e-01 3.086207635066176569e-01 4.594659109467611025e+00 -6.525289983384929826e-01 -1.723069865724635719e-01 6.171736617387386936e-02 1.813887785700143240e+01 8.844929892408925909e+00 1.563632413617495160e+02 1.131219733734134536e+02
9.891545803621809574e-05 -2.156506207399389041e+03 1.446006121032057112e-01 3.076738169529136258e-02 -2.416325734911577428e-01 9.869392930638858275e+01 8.523852076469768946e-01 2.831124659485532713e-01 4.586469889538344447e+00 -6.423823611162491343e-01 -2.523051460122816003e-01 1.084569285098054836e-01 1.681013032256595352e+01 1.133415668026882628e+01 1.527548799921873979e+02 1.200514583503267119e+02
1.340301192575878435e-04 -2.156202408380189809e+03 1.344342169452809321e-01 -8.364646267483566433e-03 -2.647677567891562056e-01 9.145843729019273383e+01 9.184306360905879485e-01 2.839523206240607278e-01 4.591023507129534664e+00 -6.168600115542970386e-01 -1.987032982721415042e-01 2.577103719688153549e-02 1.958505901045441533e+01 1.223943846940678171e+01 1.460863164384275024e+02 1.066073054976216525e+02
1.412197509572235608e-04 -2.156150155730885217e+03 3.255639550967753815e-02 1.214517271524870601e-01 -3.316313391911793751e-01 6.667275880979362057e+01 6.456284011207340523e-01 3.377508313144552687e-01 4.596521561513651655e+00 -6.314401069621053963e-01 -1.442217596636337085e-01 1.556962256596763905e-01 1.965245472502772373e+01 9.704691021163114328e+00 1.552507616435772206e+02 9.765066534340726889e+01
1.958877218985924482e-04 -2.155822931277828047e+03 7.826629838355000923e-02 8.544028233939984784e-02 -3.317815217144000073e-01 7.323097143526545949e+01 7.717061193643774963e-01 3.140625970614813189e-01 4.593503386211709838e+00 -6.379236999981008349e-01 -1.550836151129211249e-01 8.296180947615666712e-02 2.076377724032317929e+01 1.185813692048298762e+01 1.557369871217985065e+02 1.067464647275758693e+02
