weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
8.327332962753892836e-05 -3.385917713070973150e+03 -1.429558646317769799e-01 1.207030596921648824e-02 -1.267350930131067699e+00 5.802458626991754898e+01 5.912491268166656377e-01 7.200306355356373977e-01 4.946921492308848478e+00 -2.295753981028609836e-01 1.618115704386391407e-02 3.986746939290573888e+00 -2.562262794767539731e+01 3.039167096497685705e+01 1.687701650623929339e+01 8.428812264324236025e+00 3.663053210656508440e+01 3.742168517632094193e+01 9.853781818457862940e+00 1.340314774205808490e+01
8.549837064423667049e-05 -3.385891344077372651e+03 -1.267188497033267247e-01 2.296472339961383446e-02 -1.238597072939012111e+00 5.714361593892043345e+01 5.669412935325921499e-01 7.236128957997960409e-01 4.945780257803539470e+00 -2.439767537749994997e-01 9.907946777022447193e-03 3.911652547234259369e+00 -2.087170957406050320e+01 3.533492758671086165e+01 1.816888524649218439e+01 1.190386287218647610e+01 3.422248638522700048e+01 3.499444658576400258e+01 1.247595628014241953e+01 1.290911449213338891e+00
9.100849175777770751e-05 -3.385828888578158512e+03 -1.495313975869127787e-01 -1.274598875448867963e-02 -1.296529386903646275e+00 5.837360772418043098e+01 6.312574812066871210e-01 6.951462852892650313e-01 4.941547564530160308e+00 -2.300377905364592301e-01 2.593767153989290364e-02 3.999312910594900572e+00 -2.104479030511581072e+01 3.492325661516160551e+01 1.899694824459374587e+01 9.466503148795712974e+00 2.845206529763672165e+01 3.219224557887257276e+01 1.107169838689747721e+01 2.998520493268097553e+00
8.840932279304964108e-05 -3.385857863970798462e+03 -1.427382235841051783e-01 -5.067117794158775002e-02 -1.392629297897477025e+00 6.517894891336999308e+01 6.293520147035533974e-01 7.075793204925471258e-01 4.951162690591008442e+00 -2.278898350504454662e-01 3.222525224730787841e-02 3.974273318904553154e+00 -2.689291485389946956e+01 3.270780347926339005e+01 1.761008460533686204e+01 7.576142668718532924e+00 3.396010929311827908e+01 3.446726537485689335e+01 1.304496329960236345e+01 2.100851426363070651e+00
7.959620049537579646e-05 -3.385962875037100275e+03 -1.423599019445531688e-01 8.950229491929145853e-02 -1.131898998038308957e+00 6.105180171375486253e+01 5.255255182901278355e-01 7.571492016871199660e-01 4.946450721138400120e+00 -2.278720376862848340e-01 5.114657346292794671e-03 3.989050195319765457e+00 -2.377828720139945062e+01 3.424533660606310548e+01 1.944195183895891432e+01 8.708795696095950944e+00 3.836558808262887510e+01 3.640501394225281473e+01 1.278824933992561697e+01 1.027775236597716635e+01
8.119201318924409441e-05 -3.385943024513749606e+03 -1.418510107121049024e-01 4.421511198493635608e-02 -1.195434290209967942e+00 6.336531928003959280e+01 5.616210813173687644e-01 7.440282318351614244e-01 4.946900656954661635e+00 -2.295666421340025742e-01 8.856620457805108870e-03 3.742491760258865874e+00 -1.840602677095932904e+01 3.668214962428939430e+01 1.836067807866148627e+01 7.285146556928800976e+00 3.341391703366750221e+01 3.390221616314082098e+01 1.143299349712367885e+01 4.373170226919742554e+00
8.480337819845080885e-05 -3.385899506017090971e+03 -1.402750475257378004e-01 -2.730822687901841850e-02 -1.331226222666571424e+00 6.435039171467573738e+01 6.126561217270168891e-01 7.064724690857560052e-01 4.944352626976800558e+00 -2.383692982767779966e-01 2.429853983398055917e-02 3.847489501182110860e+00 -2.321716861506027385e+01 3.035730597845043377e+01 1.815539685168154804e+01 1.611369081715274731e+01 3.332813704091844897e+01 3.458627737472286157e+01 1.166503169377608451e+01 3.101368548140470693e+00
8.708943377116760477e-05 -3.385872905831309254e+03 -1.386105513770924669e-01 6.567091461609658731e-02 -1.134894970715352613e+00 6.531136621225471117e+01 5.357210997697813282e-01 7.556867633445765176e-01 4.947234177627217733e+00 -2.288679118739012086e-01 -2.151219354589173349e-03 3.917291161118508835e+00 -2.604341253285076618e+01 3.304815703461250109e+01 1.829471910261437628e+01 7.347087653272299512e+00 3.423033641194666643e+01 3.597635373302188100e+01 1.201274463321899688e+01 7.365890319909196293e-01
7.966264743596817015e-05 -3.385962040584945044e+03 -1.440450665771415284e-01 3.850178010376892335e-02 -1.189784930261281959e+00 6.381903858605800650e+01 5.654797258972260598e-01 7.441337126965599236e-01 4.949495003822927508e+00 -2.355953995424442393e-01 4.484704231480396430e-03 3.989643251185451156e+00 -1.671871332248002773e+01 3.603421425590425287e+01 1.738719863794091580e+01 9.049883952304881518e+00 3.189493234482554840e+01 3.765903862398389634e+01 9.899235727060640144e+00 1.309142971309906756e+00
1.028564963808049145e-04 -3.385706506618592812e+03 -1.487668142333714305e-01 1.202364974456852920e-01 -1.075098421322871811e+00 6.948006330338071734e+01 4.977560245381786874e-01 7.840931686606089634e-01 4.946252024125698199e+00 -2.346320397227656951e-01 -2.513582409571890608e-03 3.694783557669119922e+00 -2.201210112436336885e+01 3.222730149939512501e+01 1.763869457515543360e+01 1.259894590195187547e+01 3.737574509614603357e+01 3.635723553783731887e+01 1.126037389449030535e+01 2.341624372376616137e+00
8.048386627656321378e-05 -3.385951784650927948e+03 -1.459873016905809673e-01 3.779263058983461931e-02 -1.190552130573375722e+00 6.533841548478261529e+01 5.624636847431548903e-01 7.444624402747368475e-01 4.946095587323508624e+00 -2.404795486750745948e-01 7.724277486507391544e-03 3.901505663425341108e+00 -2.230459834945440889e+01 3.217982699523624746e+01 1.801666863759743364e+01 1.113513401977650474e+01 3.175522850382824913e+01 3.546989489407292950e+01 1.082758584946230584e+01 2.909982686851719791e-01
8.573633371579670291e-05 -3.385888564696573212e+03 -1.422893046327438626e-01 -2.652467779793178659e-02 -1.327635587677503226e+00 6.431602488852757915e+01 6.159899393456440553e-01 7.089894634763764802e-01 4.944541063046270502e+00 -2.243661483506331766e-01 2.264745123915834490e-02 3.891406944372807430e+00 -2.669060653130523519e+01 2.936736326839206512e+01 1.874804903260529443e+01 1.580668132832496653e+01 3.222708168972135923e+01 3.586924639638611012e+01 1.419312193413480117e+01 8.534171053614091562e+00
8.143193826188260343e-05 -3.385940073838346962e+03 -1.435752559492774194e-01 3.418590407806676446e-03 -1.251225661783110121e+00 5.771758346980561072e+01 6.088079335463205677e-01 7.117672937576495773e-01 4.945649569451378014e+00 -2.386797212255933331e-01 9.505209161146277452e-03 3.843817590056749722e+00 -2.696115173567102374e+01 3.632801063067858394e+01 1.583013235191077506e+01 9.139863337252140951e+00 3.441975546123239837e+01 3.270708720943049741e+01 1.225323444591297495e+01 2.053860319941591683e+00
7.768845126668120083e-05 -3.385987134782360954e+03 -1.277973519968352012e-01 -8.229598218681047350e-02 -1.474221652159893869e+00 6.017807087844290237e+01 6.375359460708053261e-01 6.975590443091498338e-01 4.944942808316231009e+00 -2.206613671602588589e-01 4.548148674451724105e-02 3.995925281894118886e+00 -3.015083292536843373e+01 3.289139046427958135e+01 1.800303238721800980e+01 9.870693674918328497e+00 3.602080661826425967e+01 3.466711344369122116e+01 1.211123819484327768e+01 1.405936851702760393e+00
8.664147384131025030e-05 -3.385878062782697725e+03 -1.376395707736302876e-01 -5.499411035684188820e-02 -1.363885807735229605e+00 6.020924556240050407e+01 6.206914479016136799e-01 7.023463833966747671e-01 4.941804076612788421e+00 -2.209737018323638669e-01 2.647727064801386199e-02 3.764728081176265562e+00 -2.836784966136085018e+01 3.417181530049684568e+01 1.875235491864368953e+01 1.466375617088444550e+01 3.276530063957736161e+01 3.526331708654029029e+01 1.307344191105030973e+01 4.288891833679531196e+00
7.913954082208584783e-05 -3.385968628762497246e+03 -1.476573398294467876e-01 -1.816077693074927280e-02 -1.298487843643284068e+00 6.551353244243078677e+01 6.130051168016272811e-01 7.110317085191759645e-01 4.945127641720744371e+00 -2.240997090304230888e-01 2.182853349859392722e-02 3.987094391525564774e+00 -2.330102411251121453e+01 3.630968566466940928e+01 1.639140018967277967e+01 1.765276442869301121e+01 3.799100177214333485e+01 3.466588007801951932e+01 1.045271375137524217e+01 3.495407825579222028e+00
8.498243070791365063e-05 -3.385897396858769753e+03 -1.433870788811523467e-01 -3.108721120284972661e-02 -1.335012087667746261e+00 5.631152537471694330e+01 6.124374830525796121e-01 7.178417303035866670e-01 4.949383501748814140e+00 -2.072352602155067558e-01 1.891850640539050055e-02 3.945880308332477604e+00 -2.607551694267007747e+01 3.168127827544942221e+01 1.905381395298755365e+01 1.527822918403110108e+01 3.216073992955816152e+01 3.671557264489155870e+01 1.494732439941159896e+01 5.541763415102818335e+00
9.302657263006257598e-05 -3.385806956216795243e+03 -1.479133932976302856e-01 -3.925879593362389952e-02 -1.341032396728276010e+00 6.563949381112105641e+01 6.315755116602883579e-01 6.998605311595251788e-01 4.941207462712741361e+00 -2.276256343420017814e-01 1.699432968099645613e-02 3.992720156029501144e+00 -2.590620912479565163e+01 3.573146538255811322e+01 1.861568627374199281e+01 1.356244053854149811e+01 3.173494127682926091e+01 3.488768443992462664e+01 1.227829577361127988e+01 4.311883306085118051e-01
9.565909295633486323e-05 -3.385779050640087462e+03 -1.496136777128605488e-01 8.823573995701386452e-02 -1.109273480705649462e+00 5.805542595995131450e+01 5.220792114470863554e-01 7.784579389096812907e-01 4.951937214554877897e+00 -2.254804511677521717e-01 -1.810402631119423233e-03 3.839970020200127454e+00 -1.599905938858898935e+01 3.372311695684682320e+01 1.999799471116780936e+01 1.247613373056033481e+01 3.596827852591033547e+01 3.452980699830665401e+01 1.408891429613323609e+01 2.396998260681959536e-01
8.230527086934171898e-05 -3.385929406246124017e+03 -1.423600134630542136e-01 6.459393860954604216e-02 -1.156604614338078374e+00 6.218825679663459738e+01 5.434459048184701047e-01 7.603617966305622478e-01 4.948578127545840921e+00 -2.291730603768975527e-01 3.461613599961665955e-03 3.937083768627640534e+00 -2.456398582333039826e+01 3.140840177774739672e+01 1.599276985501663084e+01 1.403334065135675246e+01 3.844163151816138679e+01 3.363637315910483494e+01 1.479392979424221011e+01 6.641847723332094944e-01
8.806933823459338231e-05 -3.385861716957636418e+03 -1.409079494526068732e-01 2.693125196283441269e-02 -1.203691073342564977e+00 6.315697822841794817e+01 5.818901090025609957e-01 7.337582306459127235e-01 4.944615606119509899e+00 -2.378021340475231504e-01 8.673712969283986496e-03 3.911754036511214228e+00 -2.408961543101597158e+01 3.036900953417998039e+01 1.885347545717674933e+01 1.482840073560265282e+01 3.082759130171606898e+01 3.498097696982738114e+01 1.491903308538755724e+01 9.269372409126397372e-01
8.516029050624913379e-05 -3.385895306145022460e+03 -1.345652988937603711e-01 -6.532371553773815009e-02 -1.397492260073913473e+00 5.847108542516645713e+01 6.167413334974241046e-01 7.057641417070081857e-01 4.942025629666957798e+00 -2.225887245000126580e-01 2.944620576560574854e-02 3.983725680510726619e+00 -2.334240577533103078e+01 3.097478599977576863e+01 1.703729940062026316e+01 1.820435724631419561e+01 3.048701879303203555e+01 3.736443952424628634e+01 1.091712877761485956e+01 9.274483491615859165e-01
8.151148043352647089e-05 -3.385939097521799795e+03 -1.434841138793380433e-01 1.138479088733856670e-01 -1.084806781198012882e+00 6.445900609735480202e+01 5.027945403033404759e-01 7.764168452019986066e-01 4.944065518020586580e+00 -2.299631436561691000e-01 -3.910416953452955369e-03 3.899935546642042006e+00 -2.686460074771818540e+01 3.103264692886997977e+01 1.967434106260479609e+01 1.566107157369700431e+01 3.694899993774916425e+01 3.642262465956503092e+01 1.425774357622344723e+01 3.619451124599937231e+00
7.878372624014725115e-05 -3.385973134940600630e+03 -1.425481842036814828e-01 -2.637261116948230733e-03 -1.266947622714897470e+00 6.447345630630054814e+01 6.025433404183845321e-01 7.180218619882152709e-01 4.945548065885914113e+00 -2.327504639121198426e-01 1.367544960494782025e-02 3.992178087065020087e+00 -2.010149319658603417e+01 3.271506801696333611e+01 1.828705866406032854e+01 1.287054705401979859e+01 3.436258718557394332e+01 3.091767797207722879e+01 1.118828997159226901e+01 8.022840169598088877e+00
8.576369655343283791e-05 -3.385888245596479464e+03 -1.445775606946472225e-01 -2.167835093443387651e-02 -1.316161975865493439e+00 5.927083071308600637e+01 6.141564764753516537e-01 7.058421327231048092e-01 4.950481804311790412e+00 -2.234848144162415728e-01 1.989628634636231297e-02 3.981460914623941250e+00 -1.658189674242021283e+01 3.429556299662594654e+01 1.857428289575591052e+01 6.579354175945129057e+00 3.415883433667045210e+01 3.567642191696873510e+01 1.233900849067959271e+01 7.871395025192740036e+00
7.953801455500440136e-05 -3.385963606318464826e+03 -1.417796230465847573e-01 -1.957198957897116065e-03 -1.280041108190134391e+00 6.835133229309259661e+01 6.061113670054691926e-01 7.143671775087048204e-01 4.941615794200686196e+00 -2.344592210204092808e-01 2.025387183076365893e-02 3.964365477261741599e+00 -2.765733831876499949e+01 3.200032094440285846e+01 1.751501774398111877e+01 1.216810239537391425e+01 3.359563461480189517e+01 3.563982213007677302e+01 1.178972025727154005e+01 2.056638600935078998e+00
8.837043146774508663e-05 -3.385858303968309428e+03 -1.479958234256485705e-01 -4.623605438540139001e-02 -1.355798789942978422e+00 5.746350572823842384e+01 6.247080297899740842e-01 6.900166685358086749e-01 4.944359617053743605e+00 -2.382432113654162631e-01 2.463621884228328618e-02 3.862059016685178481e+00 -2.514357594879001567e+01 3.244264073850177965e+01 1.831486967978590741e+01 1.803036440460059708e+01 3.733968135513089237e+01 3.610716942104441785e+01 1.252904568909674055e+01 2.863427018461761620e+00
1.056793765034572114e-04 -3.384855812145473010e+03 -1.447632441273297710e-01 -1.941052944109072920e-02 -1.302292091303654864e+00 6.320665426304417167e+01 6.091961450211327289e-01 7.041351525073058504e-01 4.945801711301623271e+00 -2.305254956223361518e-01 2.059243865655613348e-02 3.782888701134186960e+00 -2.641555226066674322e+01 3.506562836464388511e+01 1.699699796476705771e+01 1.180252617106425461e+01 3.134891415645662960e+01 3.547899173154134189e+01 1.128471676989273220e+01 5.160072725804543126e+00
9.202772037626300039e-05 -3.384994132065713529e+03 -1.411700337382267578e-01 3.116796126410836809e-02 -1.209603503228120713e+00 6.101675575590356004e+01 5.814465664631962571e-01 7.310718069161168398e-01 4.948246888791116405e+00 -2.293683891482671822e-01 1.526649901132048903e-02 3.909372391456708673e+00 -2.100622655316504961e+01 3.224990062624289067e+01 1.711610071465807792e+01 1.489845169919501444e+01 3.784263559358163320e+01 3.477835177591060045e+01 9.059871559296549748e+00 9.943167843002974848e+00
