weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
7.326069386862733629e-05 -2.349377004560349178e+03 -4.857118261062021158e-02 9.085904675766140470e-02 1.914154036325390607e+00 1.674298952354288588e+02 4.399892155242578484e-01 8.188688379007462714e-01 4.944760607857356050e+00 2.295098166775988435e-01 -1.159328530754999420e-02 3.240665722697652074e-01 -4.937613966921514930e+01 3.817433570100791940e+01 2.234343198458221735e+01 6.896280435576995771e+00 -4.338279602067959217e+01 3.585943830148452349e+01 2.847157536705735481e+01 5.738097961101640010e+01
6.674422166477584598e-05 -2.349470161062257830e+03 -1.224807126286264342e-01 1.772131107083427248e-02 1.889735474575790164e+00 1.589044162124133379e+02 5.707935026598550676e-01 7.281621263229585139e-01 4.943569277689183750e+00 2.368415563926982159e-01 -1.276976403112861647e-02 1.901507647852588023e-01 -5.221955662461184033e+01 3.385839990279704637e+01 2.437049328570905971e+01 1.265948740319133847e+01 -3.981326256749588310e+01 3.812375289336167583e+01 2.685127466835612964e+01 5.325371710819559468e+01
5.598457384563612768e-05 -2.349645952603226306e+03 -6.233589915152359939e-02 5.706526637237893662e-02 1.880225906919167578e+00 1.557164338839581035e+02 4.949129413417108214e-01 8.000105332021207882e-01 4.949436923282689804e+00 2.235373995058893559e-01 -1.128810022997228657e-02 2.949214196038711377e-01 -4.852476694847410954e+01 3.536682192694418347e+01 2.385743302540777222e+01 6.359420891643430274e+00 -3.746203877746475541e+01 3.852446150592281526e+01 2.736135360531688576e+01 5.678825633026474407e+01
6.136483134170858536e-05 -2.349554191897369947e+03 -1.257495925692338756e-01 4.121743131940719396e-02 1.928999572578037558e+00 1.653721667678572373e+02 5.525069839147327411e-01 7.557989628286585493e-01 4.947596438834695576e+00 2.390124618478461915e-01 -8.518916593204028942e-03 2.528078057136666223e-01 -5.031964776658304572e+01 3.835445960359928819e+01 2.281799516042004683e+01 9.832939639609294957e+00 -3.866542513859965879e+01 3.700477339418873157e+01 2.519109921996898294e+01 3.780194813338277982e+01
6.801442459041208085e-05 -2.349451308979961141e+03 -1.314312856032080756e-01 3.215483237820587759e-02 1.922634279675047964e+00 1.655213635212546706e+02 5.402052495833573609e-01 7.555838111910910815e-01 4.947916259133338990e+00 2.285417115994963222e-01 -1.030877760673387655e-02 2.430417036877294268e-01 -5.144808230837730889e+01 3.887753902052304511e+01 2.368661726234400078e+01 8.778526152450671916e+00 -3.866574937927322253e+01 3.434613980221534746e+01 2.558463981250869068e+01 5.372005516767086419e+01
6.009915380990556220e-05 -2.349575033027231257e+03 -1.139318296495377830e-01 2.577909460336624825e-02 1.891527073311709550e+00 1.558888797019914705e+02 5.759791098881522631e-01 7.317272735883388890e-01 4.945243384063147118e+00 2.447061829401446786e-01 -1.540344637475810075e-02 1.879129693979097460e-01 -5.241428785889648623e+01 3.656120432696097566e+01 2.172690489894102228e+01 7.618150378232879660e+00 -3.856194772894951939e+01 3.689972540564645698e+01 2.737471227346988201e+01 5.062969925107552172e+01
6.445121874494995243e-05 -2.349505120149835420e+03 -1.284589349723450624e-01 3.131786670862168886e-02 1.905119583646462722e+00 1.613796425103569732e+02 5.678429925429404612e-01 7.393867374485667554e-01 4.949205389751606177e+00 2.319663289711768606e-01 -1.434029429678362888e-02 1.865210536344998615e-01 -4.783447890329480856e+01 3.558545267096135944e+01 2.413446739334123947e+01 2.864421981658815675e+00 -4.330475664887543985e+01 3.611802938474062330e+01 3.055183375217651687e+01 5.728832416567885844e+01
1.053375649572207740e-04 -2.349013858691214864e+03 -1.155121533256011634e-01 6.166352738727948202e-02 1.960707377246048821e+00 1.644934280556819033e+02 5.212351263355915476e-01 7.643297388792451574e-01 4.942769432367065008e+00 2.425932129258907555e-01 -3.656034487169002034e-03 2.727597231761201280e-01 -5.337953700937609369e+01 3.642532701477596646e+01 2.240125205377119144e+01 6.738861559339559548e+00 -4.381913505029311295e+01 3.774999537848511011e+01 2.613706077647526271e+01 5.016956246246384410e+01
6.319559765683410485e-05 -2.349524794147573175e+03 -4.170856647126171268e-02 6.757280670075996309e-02 1.897104416699942675e+00 1.676439552016215373e+02 4.814351477720368866e-01 7.991930702604681525e-01 4.945803831292971076e+00 2.366491467354430167e-01 -1.248181458161168322e-02 3.427136418935951001e-01 -4.838992048508924881e+01 3.979716480486161601e+01 2.223192188902945077e+01 7.383661227204463273e+00 -4.092347557728777474e+01 3.736948877163992222e+01 2.815109557003969698e+01 4.935993672470340243e+01
8.232041112372426848e-05 -2.349260409703243567e+03 -9.252144175376390833e-02 3.059897088331431370e-02 1.883161270175860658e+00 1.582520395045850989e+02 5.315015764998897163e-01 7.563257878197129358e-01 4.945238208505054800e+00 2.283680588820595769e-01 -2.126135961125763529e-02 2.102379962440497074e-01 -4.507884675932660912e+01 3.845241306671032078e+01 2.246976301371117302e+01 1.146810703226053363e+01 -4.118685645635812875e+01 3.756698297863525227e+01 2.808347036964520171e+01 5.599051035936719245e+01
