weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
1.140536825240933414e-04 -1.884321140942806778e+03 1.413121489330601277e-01 9.665611532035164877e-02 -5.283254064249476301e-01 7.297314524368697164e+01 7.437719344617435002e-01 2.997204613129159645e-01 4.581477407861133777e+00 -6.958348565717753509e-01 -8.091875497188616428e-02 2.692253242470766583e+00 2.213560573682102017e+01 1.110961045781400003e+01 9.457047999587165066e+01 1.080962684383707284e+02
9.983908094047287479e-05 -1.884454250480442170e+03 1.406984986967838303e-01 6.083746891064684137e-02 -3.716059343839694940e-01 1.045583904086780507e+02 8.120272727660703405e-01 2.893975740258009077e-01 4.586280429030911598e+00 -6.843532416242306127e-01 -1.478043591056596995e-01 1.868584246632665868e+00 2.227464702825969312e+01 1.219308234566740623e+01 9.055936449217728068e+01 9.451974602050172791e+01
9.208204147130570909e-05 -1.884535130244902575e+03 1.067416897540484355e-01 1.194723767082973287e-01 -5.638474409332636661e-01 1.023736911425582008e+02 6.980146585619215749e-01 3.254441246038071167e-01 4.596179621562869855e+00 -6.780118366639202865e-01 -3.078048612579187271e-02 3.018443368310837815e+00 2.316983885317043246e+01 1.028684192984874457e+01 8.933797260873721768e+01 9.297579224601115300e+01
9.681952954925860571e-05 -1.884484961454221775e+03 1.437462356247607709e-01 7.604731872525954950e-02 -5.840371717670627127e-01 9.418259390090418037e+01 8.238674138921930901e-01 2.842408552429322444e-01 4.585145096928969544e+00 -7.348806065818287436e-01 -3.388813984622585096e-02 1.587858675375162454e+00 2.394911663664453272e+01 1.094194042209173290e+01 9.309233584426901587e+01 1.037177241480185046e+02
9.334335473684275534e-05 -1.884521525498779511e+03 4.814883151721793819e-02 4.277702305145480999e-02 -2.764680066641402867e-01 1.088321053169683381e+02 7.104936162881461126e-01 3.151375163379905864e-01 4.591550050277414030e+00 -6.254765476009263026e-01 -1.842486830690790445e-01 3.563753067633053107e+00 2.160048677587997190e+01 1.186911311105331990e+01 9.421719975593379104e+01 8.669735820796897485e+01
9.554406155120599134e-05 -1.884498222661112777e+03 1.471952380530172910e-01 7.943912900401708943e-02 -4.731789434629418700e-01 1.383558798975756190e+02 7.988427364035098899e-01 3.009378307713898026e-01 4.596934715575787145e+00 -6.621783618529761828e-01 -1.047224478173860440e-01 3.136010504282566558e+00 2.489984832644776702e+01 1.230243157901356099e+01 9.054843036066407080e+01 1.011795034100557729e+02
9.546104888641211640e-05 -1.884499091880473770e+03 6.520989718440831084e-02 7.284660503162301848e-02 -2.873447154837571738e-01 8.354190972630972567e+01 7.446976711019346329e-01 3.122255096353926396e-01 4.587396197138737364e+00 -6.195857753128493073e-01 -1.891547228948395887e-01 2.657059780423436379e+00 2.126759763853110030e+01 1.228159743386858516e+01 9.109568348196273746e+01 9.881353100156087521e+01
9.643462444919094240e-05 -1.884488944867784312e+03 1.208276498889258310e-01 1.242909376898398144e-01 -4.755755037560489562e-01 1.055196945432695799e+02 7.228745227952309005e-01 3.150850958803029234e-01 4.591867989692917540e+00 -6.505104965365369196e-01 -8.680880701064852545e-02 3.092892795751099655e+00 2.145781626186555968e+01 1.168285698708904086e+01 9.101122149720075072e+01 1.011154733809855912e+02
1.061475304552543866e-04 -1.884392980256488727e+03 1.127170061325632189e-01 1.298096323926064832e-01 -5.469767149245798876e-01 9.097302669471380909e+01 7.280174419344936920e-01 3.146817434941340252e-01 4.595352328605937231e+00 -6.969511630814260172e-01 -5.445693996586764563e-02 2.839295060888139322e+00 2.017562464001412081e+01 1.172607141058690239e+01 9.348751204348970134e+01 1.051492676262906230e+02
9.975753469687542675e-05 -1.884455067590971566e+03 1.174973683222520215e-01 1.003162026162703613e-01 -5.255746899611586365e-01 1.043545236351328356e+02 7.271913800191081023e-01 3.160807995272107429e-01 4.588572383266346755e+00 -6.691593365459393983e-01 -6.138419378916237790e-02 2.539849494260893348e+00 2.357428362558798085e+01 8.899454091264136224e+00 9.676702390296520662e+01 9.927130205889622516e+01
9.353756590514707950e-05 -1.884519447049705605e+03 1.392067695880112310e-01 8.110177200730153690e-02 -5.967235656623786078e-01 1.123791999526823702e+02 7.870307604457930095e-01 2.924868879622911644e-01 4.588208501889745605e+00 -6.897108184849742862e-01 -1.392107670573761169e-02 2.314048642525265986e+00 2.252019238128750089e+01 9.139120630916707455e+00 8.853989249259464600e+01 9.940388818158896811e+01
1.047533791828363661e-04 -1.884406201361913190e+03 1.206484870053729230e-01 5.592136077483075840e-02 -4.158487228846743378e-01 1.035614236999428215e+02 8.031310710608421388e-01 2.924991000829850196e-01 4.587822767239828181e+00 -6.861897945567654311e-01 -1.356712988809329890e-01 2.741505841870743421e+00 1.954684306704660912e+01 1.331860806842077949e+01 9.451292229540297285e+01 9.821135852310169412e+01
1.014260648355161750e-04 -1.884438480071911727e+03 1.007716741644386904e-01 5.776670688564541911e-02 -3.299313173118445519e-01 9.549095741495682432e+01 7.789948657750103145e-01 3.044378474601042717e-01 4.589339689790245203e+00 -6.288582233816548683e-01 -1.589672980698333404e-01 1.766064161201014171e+00 2.128300120837326403e+01 1.299769095399139118e+01 9.398029747626634389e+01 1.048729238479291155e+02
1.014252955122488524e-04 -1.884438487657005226e+03 1.444351853568875133e-01 3.126505880826335737e-02 -4.587235128757027880e-01 9.378976361435991294e+01 9.016275875444608179e-01 2.856209962411379033e-01 4.586096905427435644e+00 -6.703764548209596441e-01 -1.141433739550463677e-01 1.674762353214664046e+00 2.010445426270953817e+01 1.039624014698314980e+01 9.826276983716486768e+01 9.959893712082302386e+01
9.315140471730702046e-05 -1.884523584002598909e+03 1.267882974770938309e-01 5.585043434295128284e-02 -4.680097429717906543e-01 1.005684344768458942e+02 8.373238520222704429e-01 2.852634223696536298e-01 4.588319923750622031e+00 -6.975459666742058751e-01 -7.425577052895482311e-02 2.477879620707655217e+00 2.386625988270449739e+01 1.245377621499044096e+01 9.171003117767261870e+01 9.760641928521040711e+01
9.523889962400144504e-05 -1.884501421711862122e+03 8.907373209956129245e-02 2.173611552511101053e-02 -2.153190940567464295e-01 1.085439302062174534e+02 7.879674043453603893e-01 3.085398950616670133e-01 4.596543279321492648e+00 -6.085937013178437383e-01 -1.997729212452223901e-01 2.071532554767395951e+00 2.060102048037603595e+01 1.041716938595849129e+01 9.108641561610619419e+01 1.041567646147918396e+02
2.171280135991816753e-04 -1.883677323075673485e+03 1.328906057914644723e-01 1.363729223753584463e-01 -6.109334443746647914e-01 8.619677419360824899e+01 6.638776168744113804e-01 3.278486966270602876e-01 4.595801482753730127e+00 -6.664881949380885295e-01 -2.876331235939155739e-02 3.114925696466292138e+00 2.371411130334294626e+01 1.082754623924964221e+01 8.933517376715238356e+01 9.138466132247413043e+01
1.163568039487227883e-04 -1.884301148813371356e+03 1.426052738637097750e-01 3.936834540387387782e-02 -4.323122362422306963e-01 8.785343052472222780e+01 8.716783086361539201e-01 2.991847232504943888e-01 4.598825858441013992e+00 -6.446686518845732294e-01 -1.184303189489241959e-01 3.339415398732780371e+00 2.346487129608840405e+01 1.207157838744388201e+01 9.239471579625524100e+01 9.147565516488276671e+01
1.535767392594456187e-04 -1.884023609807564299e+03 1.147680095004952328e-01 3.126578637808183347e-02 -3.066590627154677229e-01 8.261697153899105217e+01 8.655228496020339612e-01 2.899034971577842956e-01 4.585694976448730031e+00 -6.410848212436641713e-01 -2.042204151234852105e-01 2.210937427515446529e+00 2.102237099894256289e+01 1.085077136299061884e+01 9.176957794211027419e+01 9.694257128004535673e+01
1.281653922999667259e-04 -1.884204488622512145e+03 1.352602301687537978e-01 3.180301963677012456e-02 -4.457827799607900765e-01 9.380237832898957606e+01 8.990181816894229350e-01 2.776625179337666172e-01 4.583098176283824543e+00 -6.985814136722723333e-01 -1.039224185129241640e-01 7.798590569898581348e-01 2.075912108799852263e+01 9.560479644410978750e+00 9.215218628266418932e+01 1.040787955122741693e+02
1.453239181099262101e-04 -1.884078845010762052e+03 7.237394637032468214e-02 2.066208024905707985e-02 -1.134012954013594587e-01 1.104430561016706065e+02 7.495322419928369673e-01 3.006477159379729036e-01 4.587617700215728789e+00 -5.980981326586496394e-01 -2.641944781930387620e-01 3.520768798853164405e+00 2.003639397903577901e+01 1.304344649705313586e+01 9.142147505350240522e+01 9.223890349632846153e+01
1.608544603058468397e-04 -1.883977310196798499e+03 1.387998961354976746e-01 2.417625119011501678e-02 -2.943823443483428726e-01 1.051480722788871702e+02 8.432788452671045043e-01 2.885790050425519615e-01 4.584812522109327659e+00 -6.495309966755293818e-01 -2.055297041174508621e-01 1.718013148907667320e+00 2.495240169033905886e+01 1.150314749850500640e+01 9.095845713636974494e+01 9.335241617676703640e+01
1.011714018360088417e-04 -1.884440994053333270e+03 1.338738171502015517e-01 3.675329506456151418e-02 -3.400109118436178690e-01 1.031285168018305853e+02 8.131564876340086068e-01 2.923231354747013455e-01 4.587263618191382619e+00 -6.414317926740165099e-01 -1.524323840857284562e-01 1.299383227546791586e+00 2.044819182826938686e+01 1.141695307567136553e+01 9.664998430329252699e+01 1.008592995775383656e+02
