weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3a_params-v_0 O3a_params-I01_spec1 O3a_params-I01_spec2 O3a_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
2.541454596919870518e-05 -4.145426798703601889e+03 -6.290049371290895586e-02 1.180308958355211491e-01 -5.988939925854319668e-01 1.605175504465239271e+02 6.014286041887881851e-01 1.108570995857609320e+00 5.147632176047634900e+00 -2.071744426207600132e-01 -5.037982570161414486e-02 1.468449082158694630e+00 -2.952374901323125300e+01 4.541758835798237470e+01 1.526333522191924885e+01 7.553577549673551061e+01 -2.817672566359695452e+01 2.952101084138125664e+00 2.758691862928430716e+00 5.044610489172973899e+01 -2.897878659829396497e+01 9.386483999188399707e+00 2.598904439816029921e+01 1.960586353107670732e+02
1.463973633689123905e-05 -4.145978380891066990e+03 -7.081327819055253936e-02 1.481297618425227169e-01 -5.497105186036441715e-01 1.481579621337429273e+02 5.552562206822445612e-01 1.160367637218584713e+00 5.147650657550759234e+00 -2.084152196461364071e-01 -5.785892954947691180e-02 1.393890173220678763e+00 -3.070745015615645457e+01 4.712390420155831805e+01 1.586976804764395155e+01 7.723166121811698304e+01 -3.204337850837018209e+01 2.504894390018774786e+00 2.327515165161053723e+00 4.869125669375684851e+01 -2.755748969688923466e+01 8.706915047636766047e+00 2.313211667176906516e+01 2.011224191604468103e+02
1.665870252730914565e-05 -4.145849187635470116e+03 -7.235934155488028818e-02 1.247752508838834984e-01 -5.618009399270573745e-01 1.528622261911631597e+02 5.773081785209588368e-01 1.113916725992186274e+00 5.142219426313308972e+00 -1.934911309744007379e-01 -4.950604929954716127e-02 1.418685680456262643e+00 -2.835807702247339535e+01 4.899212137683206691e+01 1.594558608878116068e+01 7.704428901205373847e+01 -3.366248339036374659e+01 2.675434359130979267e+00 3.047072294143471360e+00 5.065601085813165128e+01 -2.891508926420416969e+01 9.576740830972706675e+00 2.176733925168994332e+01 1.988327791221851157e+02
1.601015243228411843e-05 -4.145888897341632401e+03 -7.006093119632106347e-02 1.475479178034468097e-01 -5.691124871496850979e-01 1.685807688171878169e+02 5.621997692732974006e-01 1.152467875518131457e+00 5.149208293796007752e+00 -2.130484205544076470e-01 -5.354447115829130688e-02 1.825067884557352471e+00 -2.943276268636495274e+01 4.731516425510606894e+01 1.608586390914812370e+01 8.197637592149875729e+01 -2.861466805858455587e+01 1.932326885444757281e+00 2.453272659180161241e+00 5.218408180052713874e+01 -2.619997884921858144e+01 9.834726889065725786e+00 2.222013480259321483e+01 2.060763275687658052e+02
1.623969038933683652e-05 -4.145874662119806999e+03 -4.666162904020688951e-02 1.411143030167607282e-01 -5.957151703668066567e-01 1.652727110911749833e+02 5.696389759839326494e-01 1.139790441925272457e+00 5.147189145255648413e+00 -2.041549963716540184e-01 -4.380408676236458021e-02 1.598588354156252000e+00 -3.054860543015692542e+01 4.719344854496176822e+01 1.526616642069134144e+01 7.861101898500378127e+01 -2.691898834339417590e+01 1.646431859013919308e+00 2.673683615491362353e+00 5.185429085099535484e+01 -2.865986780425473057e+01 9.869319808401888494e+00 2.203561447082047664e+01 2.071942309837741050e+02
1.423598031544093190e-05 -4.146006347804746838e+03 -9.168092994321558331e-02 1.418321965997429712e-01 -5.475261370589690202e-01 1.549610838635990149e+02 5.645818257371766347e-01 1.124789945489742982e+00 5.145518267968521187e+00 -1.973424517270225831e-01 -5.459590090849886224e-02 1.474054360042681644e+00 -2.898037539508521832e+01 4.457728620192413871e+01 1.728603406741413551e+01 8.285712911363884814e+01 -3.387329479996657255e+01 2.378486068042251489e+00 2.241048194795314252e+00 5.309489848828030745e+01 -2.877745335401701254e+01 9.877455775616716949e+00 2.534683528974612798e+01 2.023367763739809675e+02
2.589631656399606985e-05 -4.145408019648677509e+03 -7.850372061488712638e-02 1.247221906104210298e-01 -5.529596965166860834e-01 1.658263070660829896e+02 5.927927006845066238e-01 1.119470831726206539e+00 5.150125637843959936e+00 -2.189343643427243968e-01 -4.718489345797038936e-02 1.595869960109347119e+00 -3.095484767423477024e+01 4.731878374311015989e+01 1.538306290543622978e+01 8.230610798939052586e+01 -2.551090357354479465e+01 2.309532350125209632e+00 3.657202595555797409e+00 5.320971625467429789e+01 -2.698256528489861239e+01 9.263079550210218116e+00 2.561683604350284327e+01 2.060757863149429454e+02
2.270140697548680723e-05 -4.145539693485797216e+03 -5.252002666023282418e-02 1.439277556726960838e-01 -6.055239102185074884e-01 1.595509823022820797e+02 5.833777134832719424e-01 1.134213131367612259e+00 5.149215206418617186e+00 -2.017814466225322789e-01 -3.754645473597051364e-02 1.488309275466587200e+00 -2.970869092844620241e+01 4.678758731277110883e+01 1.646404598072626158e+01 8.296817450432358498e+01 -3.004994044946661802e+01 2.499234570001895861e+00 3.379092551741957884e+00 5.078759525077536097e+01 -2.843274621448128414e+01 1.065998085992481137e+01 2.137652331171613440e+01 1.958888703787513634e+02
2.424985083247738698e-05 -4.145473709923536262e+03 -5.590000006531792298e-02 1.446921342348686801e-01 -5.982815621875232637e-01 1.891344915530219453e+02 5.837790869358331358e-01 1.135578713946890472e+00 5.148374582117406284e+00 -1.947220046926407822e-01 -4.559843476690872421e-02 1.852831778827019882e+00 -3.066211593495779653e+01 4.760362074806690202e+01 1.581475588750858030e+01 8.190024272286555629e+01 -3.092124038766195326e+01 2.130016712388771438e+00 3.378497325758900161e+00 5.394943356858461669e+01 -3.056429521989451814e+01 8.834635731248653201e+00 2.235447928786626903e+01 2.103583450509265447e+02
2.543209104556367630e-05 -4.145426108586099872e+03 -6.367238432630543954e-02 1.215953087690276602e-01 -5.497151337312957686e-01 1.557135721436883671e+02 5.806952747107939627e-01 1.112458820990772201e+00 5.140222973141799656e+00 -1.965781987225330152e-01 -5.817685615564505142e-02 1.444359971370560602e+00 -3.131065873007557343e+01 4.436537849388499666e+01 1.471251917596338998e+01 8.118851998987696561e+01 -3.210528757122921206e+01 2.348423833225199431e+00 3.198810758524239795e+00 5.136290131155152494e+01 -2.768616289139316677e+01 8.613823083832405914e+00 2.489209590109297920e+01 2.056099278696734700e+02
